city_ascii,state_id,state_name,county_name,population,density,timezone
Pueblo,CO,Colorado,Pueblo,143932,789,America/Denver
Tyler,TX,Texas,Smith,143796,718,America/Chicago
Torrance,CA,California,Los Angeles,143592,2701,America/Los_Angeles
Metairie,LA,Louisiana,Jefferson,143481,2381,America/Chicago
Yuma,AZ,Arizona,Yuma,142847,313,America/Phoenix
Surprise,AZ,Arizona,Maricopa,141664,506,America/Phoenix
Columbia,MO,Missouri,Boone,141645,725,America/Chicago
Athens,GA,Georgia,Clarke,141532,421,America/New_York
Roseville,CA,California,Placer,141500,1239,America/Los_Angeles
Thornton,CO,Colorado,Adams,141464,1521,America/Denver
Miramar,FL,Florida,Broward,141191,1889,America/New_York
Pasadena,CA,California,Los Angeles,141029,2371,America/Los_Angeles
Mesquite,TX,Texas,Dallas,140937,1151,America/Chicago
Santa Maria,CA,California,Santa Barbara,140545,1815,America/Los_Angeles
Olathe,KS,Kansas,Johnson,140545,880,America/Chicago
Houma,LA,Louisiana,Terrebonne,140469,874,America/Chicago
Carolina,PR,Puerto Rico,Carolina,140072,2611,America/Puerto_Rico
Carrollton,TX,Texas,Dallas,139248,1466,America/Chicago
Grand Junction,CO,Colorado,Mesa,139143,621,America/Denver
Charleston,WV,West Virginia,Kanawha,138706,570,America/New_York
Orange,CA,California,Orange,138669,2086,America/Los_Angeles
Fullerton,CA,California,Orange,138632,2386,America/Los_Angeles
Greeley,CO,Colorado,Weld,137810,858,America/Denver
Las Cruces,NM,New Mexico,Doña Ana,136254,519,America/Denver
Panama City,FL,Florida,Bay,136133,382,America/Chicago
Harlingen,TX,Texas,Cameron,136037,626,America/Chicago
West Valley City,UT,Utah,Salt Lake,135248,1472,America/Denver
Hampton,VA,Virginia,Hampton,134510,1009,America/New_York
Warren,MI,Michigan,Macomb,133943,1505,America/Detroit
Mauldin,SC,South Carolina,Greenville,133872,899,America/New_York
Bloomington,IL,Illinois,McLean,133846,1100,America/Chicago
Coral Springs,FL,Florida,Broward,133759,2258,America/New_York
Round Rock,TX,Texas,Williamson,133372,1421,America/Chicago
Yakima,WA,Washington,Yakima,133191,1300,America/Los_Angeles
Sterling Heights,MI,Michigan,Macomb,132438,1403,America/Detroit
Kent,WA,Washington,King,132319,1513,America/Los_Angeles
Burlington,NC,North Carolina,Alamance,131043,707,America/New_York
Bellingham,WA,Washington,Whatcom,130641,1287,America/Los_Angeles
Santa Clara,CA,California,Santa Clara,130365,2761,America/Los_Angeles
Racine,WI,Wisconsin,Racine,130142,1915,America/Chicago
Greenville,NC,North Carolina,Pitt,130118,1012,America/New_York
Stamford,CT,Connecticut,Fairfield,129638,1330,America/New_York
