city_ascii,state_id,state_name,county_name,population,density,timezone
Kendall,FL,Florida,Miami-Dade,74631,1788,America/New_York
Waldorf,MD,Maryland,Charles,74587,794,America/New_York
Bolingbrook,IL,Illinois,Will,74545,1169,America/Chicago
Rochester Hills,MI,Michigan,Oakland,74516,877,America/Detroit
Winchester,VA,Virginia,Winchester,74417,1179,America/New_York
Framingham,MA,Massachusetts,Middlesex,74416,1147,America/New_York
Hilton Head Island,SC,South Carolina,Beaufort,74139,372,America/New_York
Union City,CA,California,Alameda,74107,1474,America/Los_Angeles
Owensboro,KY,Kentucky,Daviess,74068,1132,America/Chicago
Jackson,TN,Tennessee,Madison,74065,444,America/Chicago
Cleveland,TN,Tennessee,Bradley,73596,648,America/New_York
Wausau,WI,Wisconsin,Marathon,73593,774,America/Chicago
Camden,NJ,New Jersey,Camden,73562,3184,America/New_York
Dale City,VA,Virginia,Prince William,73545,1994,America/New_York
Anniston,AL,Alabama,Calhoun,73501,179,America/Chicago
Evanston,IL,Illinois,Cook,73473,3646,America/Chicago
Apple Valley,CA,California,San Bernardino,73453,378,America/Los_Angeles
Mansfield,OH,Ohio,Richland,73326,583,America/New_York
Schaumburg,IL,Illinois,Cook,72887,1457,America/Chicago
Pocatello,ID,Idaho,Bannock,72878,657,America/Boise
